order_id,order_date,customer_id,product_id,sales_rep,channel,quantity,unit_price,discount_pct,unit_cost,payment_days,returned_qty,order_status
O1199,2025-01-27,C056,P004,Eleni,Wholesale,6,9.14,0.02,5.98,45.0,0,Completed
O1386,2025-02-05,C072,P009,Nikos,Direct,3,9.54,0.0,5.97,45.0,0,Completed
O1102,2025-05-07,C083,P025,Maria,Phone order,9,15.87,0.02,11.2,30.0,0,Completed
O1589,2025-11-15,C008,P014,Maria,Wholesale,7,17.99,0.0,8.71,30.0,0,Completed
O1635,2025-08-31,C003,P034,Nikos,Wholesale,9,21.54,0.0,11.07,45.0,0,Completed
O1014,2025-04-22,C008,P002,Giorgos,Direct,11,8.02,0.05,5.56,15.0,0,Completed
O1093,2025-07-08,C038,P006,Maria,Direct,14,12.05,0.05,8.52,60.0,0,Completed
O1268,2025-02-28,C034,P017,Maria,Phone order,10,17.04,0.05,8.38,45.0,0,Completed
O1145,2025-02-25,C035,P035,Nikos,Phone order,8,21.37,0.0,12.66,45.0,0,Completed
O1513,2025-10-22,C023,P012,Giorgos,Wholesale,12,19.45,0.05,13.82,,0,Completed
O1206,2025-04-12,C061,P014,Nikos,Wholesale,10,17.99,0.03,9.07,30.0,0,Completed
O1352,2025-11-18,C022,P035,Maria,Wholesale,11,21.37,0.09,12.56,75.0,1,Completed
O1001,2025-06-04,C020,P023,Nikos,Direct,9,16.26,0.0,11.01,45.0,0,Completed
O1614,2025-10-17,C039,P032,Nikos,Wholesale,12,13.3,0.04,7.83,60.0,0,Completed
O1003,2025-08-08,C048,P034,Eleni,Wholesale,12,21.54,0.07,11.46,30.0,1,Partial return
O1051,2025-11-28,C006,P034,Eleni,Wholesale,10,21.54,0.07,11.18,30.0,0,Completed
O1002,2025-08-04,C025,P015,Giorgos,Wholesale,7,21.66,0.0,10.91,30.0,0,Completed
O1376,2025-07-05,C047,P003,Giorgos,Direct,6,8.23,0.0,6.09,15.0,0,Completed
O1580,2025-08-11,C025,P029,Maria,Direct,10,17.56,0.03,12.52,15.0,0,Completed
O1509,2025-11-30,C006,P004,Eleni,Direct,10,9.14,0.07,5.96,30.0,0,Completed
O1554,2025-10-03,C083,P027,Giorgos,Wholesale,14,19.42,,13.39,45.0,0,Pending
O1614,2025-10-31,C050,P026,Eleni,Wholesale,8,16.04,0.0,9.6,45.0,0,Completed
O1542,2025-05-06,C022,P014,Nikos,Wholesale,14,17.99,0.02,8.76,45.0,0,Completed
O1407,2025-08-19,C086,P031,Maria,Direct,12,15.37,0.05,8.19,30.0,0,Completed
O1266,2025-10-19,C075,P004,Giorgos,Wholesale,11,9.14,0.02,6.37,60.0,0,Completed
O1532,2025-09-11,C040,P003,Eleni,Wholesale,9,8.23,0.0,5.86,45.0,0,Completed
O1149,2025-04-19,C012,P009,Eleni,Direct,11,9.54,0.03,6.01,45.0,0,Completed
O1598,2025-06-24,C087,P008,Eleni,Phone order,11,9.08,0.05,4.62,15.0,0,Completed
O1546,2025-12-26,C029,P026,Eleni,Wholesale,14,16.04,0.1,9.84,45.0,0,Completed
O1560,2025-09-22,C023,P030,Maria,Wholesale,12,14.56,0.08,7.9,45.0,0,Completed
O1435,2025-07-28,C007,P001,Giorgos,Wholesale,11,14.99,0.08,10.63,15.0,0,Completed
O1360,2025-05-04,C055,P013,Giorgos,Direct,14,24.95,0.07,13.21,60.0,1,Partial return
O1183,2025-09-09,C009,P013,Giorgos,Direct,8,24.95,0.02,13.66,60.0,0,Completed
O1638,2025-02-17,C077,P025,Eleni,Wholesale,8,15.87,0.0,11.17,30.0,0,Completed
O1278,2025-12-21,C048,P021,Maria,Wholesale,14,19.64,0.09,12.54,30.0,1,Completed
O1515,2025-10-25,C090,P003,Eleni,Wholesale,12,8.23,0.12,6.04,15.0,0,Completed
O1070,2025-09-29,C080,P036,Eleni,Wholesale,9,19.47,,10.96,45.0,0,Completed
O1526,2025-10-09,C065,P003,Eleni,Wholesale,7,8.23,0.0,6.05,45.0,0,Pending
O1117,2025-08-21,C071,P019,Eleni,Wholesale,6,14.76,0.0,8.04,45.0,0,Completed
O1260,2025-04-29,C044,P005,Nikos,Direct,18,9.46,0.08,4.72,75.0,0,Completed
O1260,2025-06-11,C005,P032,Nikos,Direct,4,13.3,0.0,7.99,30.0,0,Completed
O1408,2025-12-20,C006,P009,Maria,Wholesale,12,9.54,0.09,5.96,30.0,0,Completed
O1619,2025-09-05,C006,P033,Eleni,Direct,9,17.67,0.02,10.23,15.0,0,Completed
O1165,2025-09-26,C089,P008,Eleni,Phone order,12,9.08,0.05,4.6,30.0,0,Completed
O1423,2025-04-10,C063,P020,Eleni,Wholesale,12,11.89,0.05,7.76,45.0,0,Completed
O1532,2025-04-02,C049,P026,Eleni,Wholesale,6,16.04,0.0,9.76,45.0,0,Completed
O1044,2025-10-01,C048,P018,Maria,Wholesale,12,15.39,0.07,10.75,45.0,0,Completed
O1387,2025-01-28,C033,P032,Eleni,Direct,8,13.3,0.02,7.47,45.0,0,Completed
O1016,2025-03-06,C090,P018,Giorgos,Wholesale,12,15.39,0.09,10.89,15.0,0,Completed
O1211,2025-01-07,C069,P036,Eleni,Wholesale,9,19.47,0.0,11.69,45.0,0,Completed
O1075,2025-08-14,C058,P022,Eleni,Wholesale,10,15.11,0.03,9.43,60.0,0,Completed
O1143,2025-01-27,C019,P001,Eleni,Phone order,15,14.99,0.02,10.87,60.0,0,Completed
O1424,2025-09-02,C067,P033,Nikos,Phone order,10,17.67,0.07,10.13,45.0,0,Completed
O1286,2025-07-25,C005,P021,Giorgos,Wholesale,7,19.64,0.0,12.42,60.0,0,Completed
O1016,2025-11-19,C022,P028,Nikos,Wholesale,15,20.02,0.04,10.36,45.0,1,Partial return
O1008,2025-10-16,C046,P015,Eleni,Wholesale,14,21.66,0.09,11.35,15.0,0,Completed
O1214,2025-05-08,C023,P012,Nikos,Wholesale,10,19.45,0.07,13.38,45.0,0,Completed
O1602,2025-08-02,C042,P016,Maria,Direct,6,19.23,0.0,9.74,75.0,0,Pending
O1333,2025-07-14,C085,P005,Giorgos,Phone order,13,9.46,0.02,4.69,45.0,0,Completed
O1412,2025-06-02,C049,P032,Giorgos,Wholesale,11,13.3,0.03,7.74,15.0,0,Pending
O1258,2025-11-14,C002,P015,Nikos,Direct,10,21.66,0.07,11.2,30.0,0,Completed
O1107,2025-02-20,C039,P024,Maria,Direct,12,16.87,0.04,10.63,45.0,1,Completed
O1148,2025-05-16,C031,P019,Nikos,Wholesale,7,14.76,0.0,8.08,45.0,0,Completed
O1434,2025-03-30,C044,P001,Nikos,Wholesale,8,14.99,0.01,10.6,45.0,0,Completed
O1549,2025-07-29,C087,P010,Giorgos,Direct,13,25.35,0.09,16.83,30.0,2,Completed
O1533,2025-08-29,C088,P020,Eleni,Wholesale,12,11.89,0.03,7.61,30.0,1,Partial return
O1117,2025-05-28,C054,P012,Eleni,Direct,9,19.45,0.04,13.87,30.0,0,Completed
O1587,2025-08-21,C019,P027,Nikos,Direct,16,19.42,0.04,13.31,45.0,3,Completed
O1287,2025-05-16,C066,P027,Maria,Wholesale,13,19.42,0.08,13.4,15.0,0,Completed
O1141,2025-10-06,C068,P027,Maria,Direct,9,19.42,0.0,13.91,15.0,0,Completed
O1573,2025-05-17,C010,P031,Maria,Wholesale,10,15.37,0.05,8.09,30.0,0,Completed
O1233,2025-03-26,C020,P001,Eleni,Wholesale,12,14.99,0.03,10.3,30.0,0,Completed
O1012,2025-10-19,C044,P009,Eleni,Wholesale,7,9.54,0.01,6.11,75.0,0,Completed
O1157,2025-08-28,C085,P029,Eleni,Direct,12,17.56,0.04,12.68,45.0,1,Partial return
O1523,2025-05-20,C087,P025,Giorgos,Wholesale,12,15.87,0.05,11.11,30.0,0,Completed
O1528,2025-11-03,C033,P031,Nikos,Phone order,17,15.37,0.07,8.56,30.0,0,Completed
O1149,2025-06-15,C061,P017,Eleni,Wholesale,9,17.04,0.0,8.08,30.0,0,Completed
O1111,2025-04-28,C030,P032,Nikos,Phone order,12,13.3,0.08,7.49,45.0,0,Completed
O1501,2025-12-11,C031,P026,Eleni,Wholesale,10,16.04,0.03,9.98,45.0,3,Completed
O1504,2025-03-31,C041,P014,Giorgos,Wholesale,8,17.99,0.02,9.06,30.0,0,Completed
O1278,2025-08-15,C033,P007,Eleni,Wholesale,12,13.28,0.09,6.82,45.0,0,Completed
O1005,2025-10-27,C044,P007,Giorgos,Direct,12,13.28,0.04,6.56,45.0,0,Pending
O1333,2025-09-09,C047,P014,Nikos,Wholesale,11,17.99,0.03,9.11,15.0,0,Completed
O1245,2025-07-29,C087,P035,Eleni,Wholesale,17,21.37,0.08,12.24,30.0,0,Completed
O1173,2025-02-23,C011,P009,Maria,Wholesale,11,9.54,0.03,6.0,30.0,0,Completed
O1058,2025-12-22,C080,P035,Giorgos,Wholesale,14,21.37,0.08,12.43,45.0,0,Completed
O1099,2025-07-25,C030,P030,Nikos,Wholesale,14,14.56,0.07,8.49,30.0,0,Completed
O1280,2025-06-11,C075,P002,Eleni,Wholesale,10,8.02,0.04,5.43,45.0,0,Completed
O1615,2025-07-26,C028,P009,Nikos,Direct,7,9.54,0.0,6.03,30.0,0,Completed
O1537,2025-10-05,C023,P008,Giorgos,Wholesale,11,9.08,0.05,4.74,30.0,0,Completed
O1505,2025-04-07,C033,P034,Eleni,Direct,12,21.54,0.09,10.91,45.0,0,Completed
O1141,2025-09-13,C019,P024,Giorgos,Direct,12,16.87,0.06,10.67,45.0,0,Completed
O1315,2025-04-15,C045,P025,Eleni,Wholesale,14,15.87,0.03,11.01,45.0,0,Completed
O1595,2025-05-28,C056,P008,Giorgos,Phone order,8,9.08,0.02,4.55,45.0,0,Completed
O1489,2025-09-06,C061,P011,Nikos,Wholesale,10,16.3,0.07,11.73,45.0,0,Completed
O1412,2025-11-19,C036,P026,Maria,Direct,16,16.04,0.05,9.82,30.0,0,Completed
O1154,2025-06-09,C054,P002,Nikos,Wholesale,10,8.02,0.08,5.41,45.0,0,Completed
O1413,2025-02-17,C016,P003,Maria,Phone order,8,8.23,0.02,5.73,30.0,0,Completed
O1164,2025-02-28,C085,P007,Giorgos,Phone order,10,13.28,0.04,6.85,45.0,0,Completed
O1170,2025-11-28,C063,P006,Maria,Wholesale,13,12.05,0.03,8.34,30.0,0,Completed
O1203,2025-05-30,C041,P026,Eleni,Wholesale,16,16.04,0.05,10.04,45.0,0,Completed
O1187,2025-09-05,C041,P023,Giorgos,Wholesale,11,16.26,0.05,10.29,45.0,0,Completed
O1003,2025-10-10,C037,P023,Maria,Wholesale,5,16.26,0.0,10.84,60.0,0,Completed
O1196,2025-11-03,C084,P016,Maria,Phone order,12,19.23,0.04,9.53,75.0,0,Completed
O1622,2025-05-22,C032,P019,Giorgos,Wholesale,15,14.76,0.07,7.93,30.0,0,Completed
O1620,2025-09-17,C046,P005,Eleni,Phone order,4,9.46,0.04,4.59,15.0,0,Completed
O1247,2025-05-25,C022,P008,Eleni,Phone order,17,9.08,0.04,4.78,45.0,0,Completed
O1305,2025-10-24,C061,P027,Giorgos,Phone order,18,19.42,0.07,13.54,15.0,0,Completed
O1232,2025-08-17,C002,P009,Giorgos,Wholesale,7,9.54,0.0,6.31,60.0,0,Completed
O1003,2025-10-10,C032,P013,Giorgos,Wholesale,9,24.95,0.04,13.18,30.0,0,Completed
O1136,2025-06-14,C039,P020,Maria,Phone order,9,11.89,0.01,7.74,75.0,0,Completed
O1576,2025-05-03,C070,P030,Giorgos,Wholesale,18,14.56,0.09,8.05,60.0,0,Completed
O1129,2025-07-30,C047,P029,Nikos,Wholesale,13,17.56,0.03,12.86,30.0,0,Completed
O1217,2025-08-31,C082,P032,Giorgos,Wholesale,13,13.3,0.04,7.57,75.0,1,Completed
O1459,2025-12-06,C032,P027,Maria,Wholesale,15,19.42,0.03,13.37,15.0,0,Completed
O1442,2025-01-19,C051,P022,Maria,Wholesale,13,15.11,0.05,9.87,60.0,0,Completed
O1014,2025-10-30,C005,P016,Eleni,Phone order,11,19.23,0.05,9.71,30.0,0,Completed
O1434,2025-08-14,C002,P027,Nikos,Wholesale,17,19.42,0.07,13.7,30.0,0,Completed
O1519,2025-08-22,C045,P035,Nikos,Direct,10,21.37,0.08,12.43,30.0,0,Completed
O1350,2025-07-29,C028,P020,Maria,Wholesale,9,11.89,0.02,7.29,45.0,0,Completed
O1192,2025-05-16,C028,P007,Eleni,Direct,10,13.28,0.07,6.69,15.0,0,Completed
O1453,2025-07-23,C043,P027,Nikos,Phone order,3,19.42,0.0,14.1,60.0,0,Completed
O1181,2025-12-12,C038,P017,Giorgos,Phone order,14,17.04,0.08,8.09,30.0,0,Completed
O1040,2025-11-17,C033,P006,Giorgos,Phone order,14,12.05,0.07,8.42,30.0,0,Completed
O1224,2025-01-19,C012,P006,Nikos,Wholesale,9,12.05,0.0,8.46,30.0,0,Completed
O1237,2025-12-17,C036,P032,Eleni,Phone order,15,13.3,0.05,7.47,30.0,0,Completed
O1255,2025-02-16,C030,P036,Giorgos,Phone order,8,19.47,0.0,11.55,45.0,0,Completed
O1273,2025-11-21,C027,P007,Nikos,Wholesale,15,13.28,0.03,6.94,30.0,0,Completed
O1013,2025-12-22,C070,P014,Eleni,Phone order,15,17.99,0.04,8.93,60.0,0,Completed
O1384,2025-01-24,C004,P020,Eleni,Direct,6,11.89,0.0,7.45,30.0,0,Completed
O1232,2025-05-31,C018,P002,Eleni,Wholesale,12,8.02,0.05,5.68,60.0,0,Completed
O1147,2025-03-16,C018,P009,Maria,Wholesale,14,9.54,0.05,6.28,45.0,0,Completed
O1492,2025-10-17,C015,P007,Maria,Wholesale,9,13.28,0.04,6.69,30.0,1,Partial return
O1113,2025-02-10,C001,P006,Giorgos,Direct,11,12.05,0.08,8.45,30.0,0,Completed
O1143,2025-05-04,C086,P004,Giorgos,Phone order,8,9.14,0.0,6.22,60.0,0,Completed
O1345,2025-03-15,C086,P003,Maria,Wholesale,7,8.23,0.0,6.07,30.0,2,Completed
O1108,2025-05-11,C010,P005,Giorgos,Wholesale,11,9.46,0.05,4.64,30.0,0,Completed
O1405,2025-01-05,C067,P002,Giorgos,Phone order,6,8.02,0.0,5.52,75.0,0,Completed
O1509,2025-12-13,C035,P017,Maria,Wholesale,11,17.04,0.05,8.62,45.0,0,Completed
O1571,2025-06-26,C058,P035,Eleni,Direct,9,21.37,0.0,12.05,45.0,0,Completed
O1327,2025-08-06,C023,P003,Eleni,Wholesale,9,8.23,0.0,5.97,30.0,0,Completed
O1136,2025-06-04,C045,P026,Maria,Phone order,15,16.04,0.08,9.62,60.0,0,Completed
O1146,2025-09-05,C023,P020,Nikos,Wholesale,14,11.89,0.09,7.44,45.0,0,Completed
O1316,2025-10-20,C018,P017,Eleni,Wholesale,9,17.04,0.02,8.5,30.0,0,Completed
O1314,2025-12-25,C031,P028,Eleni,Wholesale,6,20.02,0.0,10.34,30.0,0,Completed
O1448,2025-12-04,C026,P008,Giorgos,Wholesale,9,9.08,0.0,4.87,15.0,0,Completed
O1239,2025-10-17,C004,P021,Nikos,Phone order,13,19.64,0.12,13.0,30.0,0,Completed
O1175,2025-09-12,C079,P003,Eleni,Direct,8,8.23,0.02,6.15,30.0,0,Completed
O1164,2025-04-28,C037,P004,Eleni,Wholesale,11,9.14,0.03,5.97,60.0,0,Completed
O1517,2025-04-08,C015,P026,Eleni,Direct,14,16.04,0.07,9.99,45.0,1,Partial return
O1107,2025-12-04,C025,P004,Maria,Direct,7,9.14,0.0,6.14,30.0,0,Completed
O1181,2025-11-18,C069,P008,Nikos,Wholesale,16,9.08,0.03,4.64,45.0,0,Completed
O1316,2025-08-14,C001,P013,Nikos,Wholesale,7,24.95,0.0,13.73,15.0,0,Completed
O1553,2025-03-09,C090,P006,Nikos,Phone order,9,12.05,0.02,8.79,30.0,0,Completed
O1524,2025-06-17,C053,P005,Giorgos,Wholesale,9,9.46,0.01,4.89,60.0,0,Completed
O1164,2025-03-09,C055,P021,Eleni,Wholesale,9,19.64,0.02,12.2,60.0,1,Partial return
O1310,2025-05-20,C084,P023,Maria,Wholesale,6,16.26,0.0,10.27,45.0,0,Completed
O1251,2025-09-04,C075,P032,Eleni,Direct,10,13.3,0.07,7.46,45.0,0,Completed
O1058,2025-06-23,C043,P010,Nikos,Wholesale,12,25.35,0.08,17.62,45.0,0,Completed
O1043,2025-02-08,C018,P004,Maria,Direct,9,9.14,0.04,6.04,30.0,0,Completed
O1275,2025-04-26,C061,P008,Giorgos,Phone order,18,9.08,0.12,4.75,30.0,0,Completed
O1634,2025-10-13,C037,P034,Eleni,Wholesale,7,21.54,0.0,11.55,30.0,0,Completed
O1093,2025-07-22,C080,P016,Nikos,Wholesale,2,19.23,0.0,9.67,45.0,0,Completed
O1519,2025-03-05,C058,P035,Giorgos,Wholesale,9,21.37,0.0,12.21,45.0,2,Completed
O1291,2025-12-11,C011,P008,Eleni,Wholesale,10,9.08,0.05,4.85,30.0,0,Completed
O1031,2025-11-23,C053,P003,Eleni,Wholesale,20,8.23,0.04,5.89,75.0,0,Completed
O1253,2025-04-30,C012,P031,Giorgos,Wholesale,13,15.37,0.08,8.16,60.0,0,Completed
O1172,2025-10-15,C005,P022,Eleni,Phone order,9,15.11,,9.86,45.0,0,Completed
O1567,2025-04-24,C023,P031,Nikos,Direct,6,15.37,0.0,8.22,45.0,0,Completed
O1123,2025-08-26,C015,P006,Eleni,Direct,10,12.05,0.05,8.72,30.0,0,Completed
O1333,2025-03-01,C011,P033,Maria,Wholesale,16,17.67,0.05,9.65,30.0,0,Completed
O1319,2025-01-20,C060,P023,Eleni,Phone order,5,16.26,0.0,10.77,15.0,0,Completed
O1606,2025-03-01,C044,P005,Nikos,Wholesale,9,9.46,0.0,4.92,60.0,0,Completed
O1374,2025-10-03,C066,P018,Maria,Wholesale,7,15.39,0.0,10.22,30.0,1,Partial return
O1611,2025-07-09,C013,P015,Giorgos,Wholesale,11,21.66,0.07,10.76,15.0,0,Completed
O1352,2025-03-21,C032,P022,Giorgos,Direct,9,15.11,0.02,9.95,15.0,0,Completed
O1296,2025-09-08,C054,P018,Giorgos,Phone order,8,15.39,0.0,10.95,30.0,0,Completed
O1531,2025-05-24,C056,P020,Nikos,Direct,14,11.89,0.03,7.76,30.0,0,Completed
O1045,2025-04-22,C053,P015,Giorgos,Wholesale,9,21.66,0.0,11.24,60.0,0,Completed
O1209,2025-05-01,C002,P005,Eleni,Wholesale,16,9.46,0.08,4.89,45.0,3,Completed
O1572,2025-12-18,C019,P035,Eleni,Wholesale,12,21.37,0.02,12.95,45.0,0,Completed
O1375,2025-11-27,C045,P009,Eleni,Wholesale,11,9.54,0.05,5.93,45.0,0,Completed
O1324,2025-05-22,C072,P010,Maria,Phone order,10,25.35,0.05,17.76,45.0,0,Completed
O1518,2025-08-21,C062,P034,Nikos,Direct,10,21.54,0.08,11.38,45.0,0,Completed
O1059,2025-11-25,C073,P036,Nikos,Wholesale,13,19.47,0.05,11.64,30.0,0,Completed
O1172,2025-06-20,C018,P029,Maria,Phone order,18,17.56,0.05,12.93,60.0,0,Completed
O1591,2025-10-17,C023,P034,Maria,Wholesale,5,21.54,0.0,10.82,30.0,0,Completed
O1550,2025-10-11,C006,P014,Maria,Wholesale,14,17.99,0.07,8.9,30.0,0,Completed
O1617,2025-04-30,C051,P017,Eleni,Direct,14,17.04,0.03,8.5,45.0,0,Completed
O1599,2025-11-02,C068,P008,Nikos,Wholesale,13,9.08,0.05,4.85,30.0,0,Completed
O1071,2025-03-16,C043,P036,Maria,Wholesale,9,19.47,0.0,11.18,30.0,0,Completed
O1065,2025-03-31,C087,P004,Nikos,Direct,7,9.14,0.04,6.31,30.0,0,Completed
O1122,2025-01-14,C027,P010,Maria,Wholesale,6,25.35,0.0,17.31,45.0,1,Partial return
O1219,2025-05-02,C067,P004,Eleni,Wholesale,7,9.14,0.0,6.14,60.0,1,Partial return
O1206,2025-05-16,C049,P005,Nikos,Wholesale,10,9.46,0.03,4.91,30.0,0,Completed
O1548,2025-08-04,C017,P014,Nikos,Direct,10,17.99,0.03,9.04,60.0,0,Completed
O1001,2025-09-01,C050,P024,Giorgos,Direct,16,16.87,0.05,10.43,45.0,0,Completed
O1512,2025-09-20,C061,P010,Nikos,Wholesale,8,25.35,0.0,17.11,30.0,0,Completed
O1337,2025-04-24,C011,P021,Nikos,Direct,11,19.64,0.08,12.66,15.0,0,Completed
O1205,2025-12-04,C023,P017,Eleni,Wholesale,12,17.04,0.07,8.13,45.0,0,Completed
O1588,2025-01-16,C074,P011,Nikos,Phone order,12,16.3,0.05,11.28,45.0,0,Completed
O1090,2025-07-25,C053,P018,Giorgos,Direct,6,15.39,0.01,10.76,60.0,0,Completed
O1282,2025-09-09,C046,P015,Giorgos,Wholesale,4,21.66,0.04,11.01,30.0,0,Completed
O1612,2025-02-11,C038,P009,Eleni,Direct,9,9.54,0.0,6.25,60.0,0,Completed
O1443,2025-02-03,C061,P008,Maria,Wholesale,8,9.08,0.02,4.88,45.0,1,Partial return
O1364,2025-11-21,C009,P020,Eleni,Wholesale,18,11.89,0.1,7.71,30.0,0,Completed
O1019,2025-11-02,C084,P027,Eleni,Wholesale,13,19.42,0.04,13.61,60.0,0,Completed
O1522,2025-11-06,C074,P008,Giorgos,Wholesale,15,9.08,0.07,4.87,45.0,0,Completed
O1129,2025-12-26,C065,P030,Nikos,Phone order,16,14.56,0.08,7.92,30.0,0,Completed
O1248,2025-11-30,C017,P009,Maria,Wholesale,11,9.54,0.05,5.88,45.0,0,Completed
O1544,2025-04-27,C089,P017,Giorgos,Wholesale,14,17.04,0.05,8.51,15.0,0,Pending
O1164,2025-08-21,C046,P009,Giorgos,Wholesale,9,9.54,0.0,6.09,30.0,0,Completed
O1090,2025-02-18,C046,P003,Eleni,Wholesale,9,8.23,0.02,5.91,15.0,0,Completed
O1330,2025-12-07,C065,P008,Eleni,Wholesale,10,9.08,0.05,4.75,45.0,0,Completed
O1011,2025-03-20,C062,P034,Giorgos,Wholesale,13,21.54,0.03,11.02,30.0,0,Completed
O1099,2025-02-13,C013,P034,Nikos,Wholesale,13,21.54,0.03,10.71,15.0,0,Completed
O1610,2025-07-10,C073,P015,Maria,Wholesale,11,21.66,0.03,10.8,15.0,0,Completed
O1170,2025-10-28,C060,P001,Eleni,Direct,8,14.99,0.0,10.46,30.0,0,Completed
O1380,2025-07-30,C032,P020,Eleni,Phone order,15,11.89,0.08,7.87,30.0,0,Completed
O1037,2025-08-05,C078,P009,Nikos,Phone order,7,9.54,0.0,6.3,45.0,0,Completed
